,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,044,346","+3,513","123,858",+386,"670,598","1,249,890","19,427",,,,,,North America
1,,"
South America
","847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
2,,"
Europe
","2,004,226",,"173,280",,"978,245","852,701","8,796",,,,,,Europe
3,,"
Asia
","1,108,043",+522,"30,208",+1,"672,401","405,434","13,624",,,,,,Asia
4,,"
Africa
","143,769",,"4,092",,"60,987","78,690",370,,,,,,Africa
5,,"
Oceania
","8,801",+7,125,,"8,196",480,4,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
182,175,Angola,84,,4 ,,18,62,1,3,0.1,"10,000",305,"32,765,461 ",Africa
183,176,Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,610","38,119 ",Europe
184,177,Sint Maarten,77,,15 ,,60,2,1,"1,798",350,461,"10,763","42,833 ",North America
185,178,Burundi,63,,1 ,,33,29,,5,0.08,284,24,"11,856,133 ",Africa
186,179,French Polynesia,60,, ,,60,0,,214,,"4,006","14,268","280,770 ",Australia/Oceania
187,180,Macao,45,, ,,45,0,,69,,,,"648,548 ",Asia
188,181,Bhutan,43,+10, ,,6,37,,56,,"16,838","21,843","770,865 ",Asia
189,182,Saint Martin,41,,3 ,,33,5,1,"1,062",78,614,"15,904","38,606 ",North America
190,183,Eritrea,39,, ,,39,0,,11,,,,"3,542,053 ",Africa
191,184,Botswana,35,,1 ,,20,14,,15,0.4,"17,991","7,665","2,347,237 ",Africa
192,185,St. Vincent Grenadines,26,, ,,15,11,,234,,593,"5,347","110,911 ",North America
193,186,Antigua and Barbuda,25,,3 ,,19,3,1,255,31,183,"1,870","97,859 ",North America
194,187,Gambia,25,,1 ,,20,4,,10,0.4,"1,756",729,"2,410,091 ",Africa
195,188,Timor-Leste,24,, ,,24,0,,18,,"1,290",980,"1,316,139 ",Asia
196,189,Grenada,23,, ,,18,5,4,204,,"3,007","26,734","112,479 ",North America
197,190,Namibia,23,, ,,14,9,,9,,"3,412","1,345","2,536,704 ",Africa
198,191,Curaçao,19,,1 ,,14,4,,116,6,572,"3,487","164,037 ",North America
199,192,Laos,19,, ,,16,3,,3,,"6,432",885,"7,266,127 ",Asia
200,193,New Caledonia,19,, ,,18,1,,67,,"6,416","22,492","285,260 ",Australia/Oceania
201,194,Belize,18,,2 ,,16,0,,45,5,"1,572","3,960","396,969 ",North America
202,195,Fiji,18,, ,,15,3,,20,,"2,431","2,714","895,890 ",Australia/Oceania
203,196,Saint Lucia,18,, ,,18,0,,98,,"1,012","5,513","183,556 ",North America
204,197,Dominica,16,, ,,16,0,,222,,433,"6,016","71,971 ",North America
205,198,Saint Kitts and Nevis,15,, ,,15,0,,282,,394,"7,411","53,167 ",North America
206,199,Suriname,14,+2,1 ,,9,4,,24,2,782,"1,334","586,178 ",South America
207,200,Falkland Islands,13,, ,,13,0,,"3,746",,503,"144,957","3,470 ",South America
208,201,Greenland,13,, ,,11,2,,229,,"2,030","35,763","56,762 ",North America
209,202,Turks and Caicos,12,,1 ,,11,0,,310,26,129,"3,336","38,670 ",North America
210,203,Vatican City,12,, ,,2,10,,"14,981",,,,801 ,Europe
211,204,Montserrat,11,,1 ,,10,0,,"2,204",200,61,"12,220","4,992 ",North America
212,205,Seychelles,11,, ,,11,0,,112,,,,"98,295 ",Africa
213,206,MS Zaandam,9,,2 ,,,7,,,,,,0 ,
214,207,Western Sahara,9,,1 ,,6,2,,15,2,,,"595,945 ",Africa
215,208,British Virgin Islands,8,,1 ,,7,0,,265,33,167,"5,527","30,214 ",North America
216,209,Papua New Guinea,8,, ,,8,0,,0.9,,"2,402",269,"8,931,472 ",Australia/Oceania
217,210,Caribbean Netherlands,6,, ,,6,0,,229,,424,"16,182","26,202 ",North America
218,211,St. Barth,6,, ,,6,0,,608,,137,"13,875","9,874 ",North America
219,212,Anguilla,3,, ,,3,0,,200,,41,"2,735","14,991 ",North America
220,213,Lesotho,2,, ,,1,1,,0.9,,283,132,"2,140,792 ",Africa
221,214,Saint Pierre Miquelon,1,, ,,1,0,,173,,,,"5,796 ",North America
222,215,China,"83,001",+2,"4,634 ",,"78,304",63,3,58,3,,,"1,439,323,776 ",Asia
223,,Total:,"2,044,346","+3,513","123,858",+386,"670,598","1,249,890","19,427",,,,,,North America
224,,Total:,"847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
225,,Total:,"2,004,226",,"173,280",,"978,245","852,701","8,796",,,,,,Europe
226,,Total:,"1,108,043",+522,"30,208",+1,"672,401","405,434","13,624",,,,,,Asia
227,,Total:,"143,769",,"4,092",,"60,987","78,690",370,,,,,,Africa
228,,Total:,"8,801",+7,125,,"8,196",480,4,,,,,,Australia/Oceania
229,,Total:,721,,15,,651,55,4,,,,,,
230,,Total:,"6,156,914","+6,431","370,918",+412,"2,737,039","3,048,957","53,506",789.9,47.6,,,,All
