,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
48,UAE,1264,+240,9.0,+1,108.0,1147,2.0,128.0,0.9
49,Algeria,1171,+185,105.0,+19,62.0,1004,,27.0,2.0
50,Singapore,1114,+65,5.0,+1,282.0,827,24.0,190.0,0.9
51,Croatia,1079,+68,8.0,+1,92.0,979,39.0,263.0,2.0
52,Qatar,1075,+126,3.0,,93.0,979,37.0,373.0,1.0
53,Ukraine,1072,+175,27.0,+5,22.0,1023,16.0,25.0,0.6
54,Egypt,985,+120,66.0,+8,216.0,703,,10.0,0.6
55,Estonia,961,+103,12.0,+1,48.0,901,16.0,724.0,9.0
56,Slovenia,934,+37,20.0,+3,70.0,844,31.0,449.0,10.0
57,New Zealand,868,+71,1.0,,103.0,764,1.0,180.0,0.2
58,Hong Kong,845,+43,4.0,,173.0,668,8.0,113.0,0.5
59,Iraq,820,+48,54.0,,226.0,540,,20.0,1.0
60,Morocco,791,+83,48.0,+4,57.0,686,1.0,21.0,1.0
61,Armenia,736,+73,7.0,,43.0,686,30.0,248.0,2.0
62,Diamond Princess,712,,11.0,,619.0,82,10.0,,
63,Lithuania,696,+47,9.0,,7.0,680,11.0,256.0,3.0
64,Bahrain,672,+29,4.0,,382.0,286,3.0,395.0,2.0
65,Hungary,623,+38,26.0,+5,43.0,554,17.0,64.0,3.0
66,Moldova,591,+86,8.0,+2,26.0,557,65.0,147.0,2.0
67,Bosnia and Herzegovina,579,+46,17.0,+1,27.0,535,4.0,176.0,5.0
68,Cameroon,509,+203,8.0,+1,17.0,484,,19.0,0.3
69,Lebanon,508,+14,17.0,+1,50.0,441,26.0,74.0,2.0
70,Tunisia,495,+40,18.0,+4,5.0,472,26.0,42.0,2.0
71,Latvia,493,+35,1.0,+1,1.0,491,3.0,261.0,0.5
72,Bulgaria,485,+28,14.0,+4,30.0,441,21.0,70.0,2.0
73,Kazakhstan,464,+29,6.0,+3,29.0,429,6.0,25.0,0.3
74,Slovakia,450,+24,1.0,,10.0,439,3.0,82.0,0.2
75,Azerbaijan,443,+43,5.0,,32.0,406,7.0,44.0,0.5
76,Andorra,439,+11,16.0,+1,16.0,407,12.0,5682.0,207.0
77,North Macedonia,430,+46,12.0,+1,20.0,398,8.0,206.0,6.0
78,Kuwait,417,+75,,,82.0,335,16.0,98.0,
79,Costa Rica,416,+20,2.0,,11.0,403,13.0,82.0,0.4
80,Cyprus,396,+40,11.0,+1,28.0,357,11.0,328.0,9.0
81,Uruguay,386,+36,4.0,,86.0,296,13.0,111.0,1.0
82,Belarus,351,+47,4.0,,53.0,294,11.0,37.0,0.4
83,Taiwan,348,+9,5.0,,50.0,293,,15.0,0.2
84,Réunion,321,+13,,,40.0,281,3.0,359.0,
85,Jordan,310,+11,5.0,,58.0,247,5.0,30.0,0.5
86,Albania,304,+27,17.0,+1,89.0,198,7.0,106.0,6.0
87,Burkina Faso,302,+14,16.0,,50.0,236,,14.0,0.8
88,Afghanistan,281,+8,6.0,,10.0,265,,7.0,0.2
89,Cuba,269,+36,6.0,,15.0,248,8.0,24.0,0.5
90,Oman,252,+21,1.0,,57.0,194,3.0,49.0,0.2
91,San Marino,251,+6,32.0,+2,26.0,193,13.0,7397.0,943.0
92,Vietnam,239,+6,,,85.0,154,3.0,2.0,
93,Channel Islands,232,+39,4.0,+1,13.0,215,,1334.0,23.0
94,Uzbekistan,227,+22,2.0,,25.0,200,8.0,7.0,0.06
95,Honduras,222,+3,15.0,+1,3.0,204,10.0,22.0,2.0
96,Ivory Coast,218,+24,1.0,,19.0,198,,8.0,0.04
97,Nigeria,210,+26,4.0,+2,25.0,181,,1.0,0.02
98,Senegal,207,+12,1.0,,66.0,140,1.0,12.0,0.06
99,Ghana,205,+1,5.0,,31.0,169,2.0,7.0,0.2
100,Malta,202,+6,,,2.0,200,2.0,457.0,
101,Palestine,194,+33,1.0,,21.0,172,,38.0,0.2
102,Mauritius,186,+17,7.0,,,179,1.0,146.0,6.0
103,Faeroe Islands,179,+2,,,91.0,88,1.0,3663.0,
104,Montenegro,174,+30,2.0,,1.0,171,4.0,277.0,3.0
105,Sri Lanka,159,+8,4.0,,24.0,131,5.0,7.0,0.2
106,Georgia,155,+21,,,28.0,127,6.0,39.0,
107,Venezuela,153,+7,7.0,+2,52.0,94,6.0,5.0,0.2
108,DRC,148,+14,16.0,+3,3.0,129,,2.0,0.2
109,Martinique,143,+5,3.0,,27.0,113,18.0,381.0,8.0
110,Brunei,134,+1,1.0,,65.0,68,3.0,306.0,2.0
111,Bolivia,132,+9,9.0,+1,1.0,122,3.0,11.0,0.8
112,Guadeloupe,130,+2,7.0,+1,24.0,99,14.0,325.0,17.0
113,Kyrgyzstan,130,+14,1.0,+1,6.0,123,5.0,20.0,0.2
114,Mayotte,128,+12,2.0,+1,10.0,116,3.0,469.0,7.0
115,Kenya,122,+12,4.0,+1,4.0,114,2.0,2.0,0.07
116,Niger,120,+22,5.0,,,115,,5.0,0.2
117,Isle of Man,114,+19,1.0,,,113,,1341.0,12.0
118,Cambodia,114,+4,,,35.0,79,1.0,7.0,
119,Trinidad and Tobago,98,+4,6.0,+1,1.0,91,,70.0,4.0
120,Gibraltar,95,+7,,,46.0,49,,2820.0,
121,Paraguay,92,+15,3.0,,6.0,83,2.0,13.0,0.4
122,Rwanda,89,+5,,,,89,,7.0,
123,Liechtenstein,75,,,,,75,,1967.0,
124,Guinea,73,+21,,,2.0,71,,6.0,
125,Madagascar,70,+11,,,,70,6.0,3.0,
126,Monaco,64,+4,1.0,,3.0,60,2.0,1631.0,25.0
127,Aruba,62,+2,,,1.0,61,,581.0,
128,Bangladesh,61,+5,6.0,,26.0,29,1.0,0.4,0.04
129,French Guiana,57,+6,,,22.0,35,1.0,191.0,
130,Jamaica,53,+6,3.0,,7.0,43,,18.0,1.0
131,Barbados,51,+5,,,,51,,177.0,
132,Guatemala,50,+3,1.0,,12.0,37,1.0,3.0,0.06
133,Djibouti,49,+9,,,8.0,41,,50.0,
134,Uganda,48,+3,,,,48,,1.0,
135,El Salvador,46,+5,3.0,+1,,43,4.0,7.0,0.5
136,Macao,42,+1,,,10.0,32,,65.0,
137,Togo,40,+1,3.0,+1,17.0,20,,5.0,0.4
138,Mali,39,+3,3.0,,,36,,2.0,0.1
139,Zambia,39,,1.0,,2.0,36,,2.0,0.05
140,French Polynesia,39,+2,,,,39,1.0,139.0,
141,Bermuda,35,,,,14.0,21,,562.0,
142,Ethiopia,35,+6,,,3.0,32,2.0,0.3,
143,Cayman Islands,29,+1,1.0,,1.0,27,,441.0,15.0
144,Bahamas,24,,3.0,+2,,21,1.0,61.0,8.0
145,Guyana,23,+4,4.0,,,19,,29.0,5.0
146,Sint Maarten,23,+5,4.0,+3,6.0,13,,536.0,93.0
147,Congo,22,,2.0,,2.0,18,,4.0,0.4
148,Saint Martin,22,,1.0,,2.0,19,,569.0,26.0
149,Eritrea,22,,,,,22,,6.0,
150,Gabon,21,,1.0,,1.0,19,,9.0,0.4
151,Myanmar,20,,1.0,,,19,,0.4,0.02
152,Tanzania,20,,1.0,,3.0,16,,0.3,0.02
153,Maldives,19,,,,13.0,6,,35.0,
154,Haiti,18,+2,,,1.0,17,,2.0,
155,New Caledonia,18,,,,1.0,17,,63.0,
156,Libya,17,+6,1.0,,,16,,2.0,0.1
157,Syria,16,,2.0,,,14,,0.9,0.1
158,Benin,16,+3,,,2.0,14,,1.0,
159,Equatorial Guinea,16,+1,,,1.0,15,,11.0,
160,Antigua and Barbuda,15,+6,,,,15,1.0,153.0,
161,Guinea-Bissau,15,+6,,,,15,,8.0,
162,Dominica,14,+2,,,,14,,194.0,
163,Mongolia,14,,,,2.0,12,,4.0,
164,Namibia,14,,,,3.0,11,,6.0,
165,Saint Lucia,13,,,,1.0,12,,71.0,
166,Grenada,12,+2,,,,12,2.0,107.0,
167,Curaçao,11,,1.0,,3.0,7,,67.0,6.0
168,Sudan,10,+2,2.0,,2.0,6,,0.2,0.05
169,Suriname,10,,1.0,+1,,9,,17.0,2.0
170,Greenland,10,,,,3.0,7,,176.0,
171,Laos,10,,,,,10,,1.0,
172,Mozambique,10,,,,,10,,0.3,
173,Seychelles,10,,,,,10,,102.0,
174,MS Zaandam,9,,2.0,,,7,,,
175,Zimbabwe,9,,1.0,,,8,,0.6,0.07
176,Saint Kitts and Nevis,9,,,,,9,,169.0,
177,Eswatini,9,,,,,9,,8.0,
178,Angola,8,,2.0,,1.0,5,,0.2,0.06
179,CAR,8,+5,,,,8,,2.0,
180,Chad,8,,,,,8,,0.5,
181,Fiji,7,,,,,7,,8.0,
182,Vatican City,7,,,,,7,,8739.0,
183,Liberia,7,+1,,,,7,,1.0,
184,St. Vincent Grenadines,7,+5,,,1.0,6,,63.0,
185,Somalia,7,+2,,,1.0,6,,0.4,
186,Cabo Verde,6,,1.0,,,5,,11.0,2.0
187,Mauritania,6,,1.0,,2.0,3,,1.0,0.2
188,Nepal,6,,,,1.0,5,,0.2,
189,Montserrat,6,+1,,,,6,,1202.0,
190,St. Barth,6,,,,1.0,5,,607.0,
191,Nicaragua,5,,1.0,,,4,,0.8,0.2
192,Bhutan,5,,,,2.0,3,,6.0,
193,Turks and Caicos,5,,,,,5,,129.0,
194,Botswana,4,,1.0,,,3,,2.0,0.4
195,Gambia,4,,1.0,,2.0,1,,2.0,0.4
196,Belize,4,+1,,,,4,,10.0,
197,Anguilla,3,,,,,3,,200.0,
198,British Virgin Islands,3,,,,,3,,99.0,
199,Burundi,3,,,,,3,,0.3,
200,Malawi,3,,,,,3,,0.2,
201,Caribbean Netherlands,2,,,,,2,,76.0,
202,Sierra Leone,2,,,,,2,,0.3,
203,Falkland Islands,1,+1,,,,1,,287.0,
204,Papua New Guinea,1,,,,,1,,0.1,
205,Timor-Leste,1,,,,,1,,0.8,
206,China,81620,+31,3322.0,+4,76571.0,1727,379.0,57.0,2.0
207,Total:,1097810,"+82,745",59140.0,"+5,972",228405.0,810265,39439.0,140.8,7.6
