,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","7,700,604","+33,058","281,049",+608,"4,594,694","+39,610","2,824,861","18,564",,,,,,North America,"
",,
1,,"
Asia
","7,857,641","+100,335","153,760","+1,641","6,349,183","+96,829","1,354,698","19,177",,,,,,Asia,"
",,
2,,"
South America
","6,747,445","+29,411","218,949",+969,"5,385,882","+63,119","1,142,614","15,050",,,,,,South America,"
",,
3,,"
Europe
","3,831,179","+26,207","210,280",+263,"2,168,113","+8,051","1,452,786","6,072",,,,,,Europe,"
",,
4,,"
Africa
","1,312,179","+6,927","31,575",+218,"1,049,512","+9,058","231,092","1,434",,,,,,Africa,"
",,
5,,"
Oceania
","29,346",+56,793,+9,"24,876",+138,"3,677",41,,,,,,Australia/Oceania,"
82,75,Lebanon,"20,826",+400,200 ,+9,"6,430",+291,"14,196",112,"3,054",29,"588,158","86,246","6,819,561 ",Asia,327,"34,098",12
83,76,Cameroon,"19,604",,415 ,,"18,448",,741,30,735,16,"149,000","5,588","26,664,138 ",Africa,"1,360","64,251",179
84,77,Libya,"18,834","+1,085",296 ,+11,"2,126",+45,"16,412",,"2,734",43,"133,989","19,451","6,888,524 ",Africa,366,"23,272",51
85,78,Ivory Coast,"18,701",+113,119 ,,"17,599",+127,983,,706,4,"134,785","5,087","26,495,233 ",Africa,"1,417","222,649",197
86,79,Denmark,"18,113",+230,628 ,+1,"15,833",+73,"1,652",3,"3,125",108,"2,715,380","468,487","5,796,058 ",Europe,320,"9,229",2
87,80,Bulgaria,"17,146",+57,677 ,+1,"12,189",+32,"4,280",53,"2,471",98,"442,380","63,759","6,938,307 ",Europe,405,"10,249",16
88,81,Madagascar,"15,352",+33,202 ,+2,"14,184",+45,966,51,552,7,"61,334","2,205","27,818,152 ",Africa,"1,812","137,714",454
89,82,North Macedonia,"15,127",+37,623 ,+6,"12,486",+251,"2,018",7,"7,261",299,"158,003","75,841","2,083,358 ",Europe,138,"3,344",13
90,83,Senegal,"14,014",+27,291 ,+1,"10,037",+115,"3,686",36,833,17,"154,258","9,170","16,822,587 ",Africa,"1,200","57,810",109
91,84,Sudan,"13,437",,833 ,,"6,730",,"5,874",,305,19,,,"44,033,287 ",Africa,"3,277","52,861",
92,85,Zambia,"12,836",+60,295 ,,"11,748",+74,793,,695,16,"123,346","6,676","18,475,317 ",Africa,"1,439","62,628",150
93,86,Croatia,"12,081",+117,201 ,+3,"9,266",+258,"2,614",19,"2,946",49,"193,153","47,106","4,100,375 ",Europe,339,"20,400",21
94,87,Greece,"11,663",+139,289 ,+5,"3,804",,"7,570",42,"1,120",28,"1,037,836","99,665","10,413,243 ",Europe,893,"36,032",10
95,88,Norway,"11,521",+133,264 ,,"9,348",,"1,909",1,"2,122",49,"777,459","143,200","5,429,172 ",Europe,471,"20,565",7
96,89,Albania,"10,406",+151,319 ,+3,"6,186",+80,"3,901",21,"3,617",111,"64,329","22,358","2,877,197 ",Europe,276,"9,019",45
97,90,DRC,"10,233",+23,260 ,,"9,451",+12,522,,114,3,,,"90,041,319 ",Africa,"8,799","346,313",
98,91,Guinea,"9,816",+18,62 ,+1,"8,956",+28,798,24,744,5,"25,469","1,930","13,196,163 ",Africa,"1,344","212,841",518
99,92,Malaysia,"9,459",+62,128 ,,"9,124",+9,207,6,292,4,"1,307,454","40,300","32,442,628 ",Asia,"3,430","253,458",25
100,93,French Guiana,"9,355",+33,62 ,,"8,902",+32,391,7,"31,177",207,"56,109","186,990","300,064 ",South America,32,"4,840",5
101,94,Hungary,"8,963",+576,625 ,+1,"3,961",+3,"4,377",11,928,65,"481,424","49,859","9,655,649 ",Europe,"1,077","15,449",20
102,95,Tajikistan,"8,824",+32,70 ,,"7,616",+35,"1,138",,921,7,,,"9,576,244 ",Asia,"1,085","136,803",
103,96,Namibia,"8,810",+125,91 ,+2,"3,806",+20,"4,913",21,"3,456",36,"71,506","28,049","2,549,293 ",Africa,289,"28,014",36
104,97,Maldives,"8,667",+83,29 ,,"6,052",+116,"2,586",12,"15,982",53,"122,148","225,248","542,282 ",Asia,63,"18,699",4
105,98,Gabon,"8,608",+7,53 ,,"7,533",+109,"1,022",2,"3,851",24,"127,759","57,159","2,235,168 ",Africa,260,"42,173",17
106,99,Haiti,"8,362",+2,214 ,,"5,933",,"2,215",,732,19,"24,811","2,171","11,428,254 ",North America,"1,367","53,403",461
107,100,Finland,"8,327",+36,336 ,,"7,350",,641,1,"1,502",61,"745,000","134,419","5,542,355 ",Europe,666,"16,495",7
108,101,Zimbabwe,"7,298",+461,210 ,+4,"5,455",+110,"1,633",,490,14,"152,262","10,217","14,902,728 ",Africa,"2,042","70,965",98
109,102,Mauritania,"7,165",+23,160 ,,"6,681",+12,324,3,"1,534",34,"69,937","14,971","4,671,450 ",Africa,652,"29,197",67
110,103,Luxembourg,"6,960",+10,124 ,,"6,256",+130,580,,"11,086",198,"689,354","1,097,972","627,843 ",Europe,90,"5,063",1
111,104,Montenegro,"5,659",+106,109 ,+1,"4,272",+41,"1,278",,"9,010",174,"52,811","84,083","628,081 ",Europe,111,"5,762",12
112,105,Malawi,"5,621",+7,176 ,+1,"3,590",+39,"1,855",4,292,9,"46,750","2,433","19,218,201 ",Africa,"3,419","109,194",411
113,106,Djibouti,"5,388",,61 ,,"5,327",,0,,"5,439",62,"69,405","70,061","990,643 ",Africa,184,"16,240",14
114,107,Tunisia,"5,124",+83,94 ,+1,"1,788",+36,"3,242",21,433,8,"159,597","13,478","11,841,606 ",Africa,"2,311","125,975",74
115,108,Equatorial Guinea,"4,985",+13,83 ,,"4,454",+41,448,,"3,533",59,"54,174","38,393","1,411,052 ",Africa,283,"17,001",26
116,109,Congo,"4,891",+263,102 ,,"3,887","+2,145",902,,882,18,,,"5,542,416 ",Africa,"1,133","54,337",
117,110,Hong Kong,"4,890",+11,98 ,+4,"4,524",+14,268,20,651,13,"780,415","103,940","7,508,352 ",Asia,"1,535","76,616",10
118,111,Eswatini,"4,884",+31,94 ,,"4,029",+78,761,11,"4,202",81,"30,327","26,090","1,162,397 ",Africa,238,"12,366",38
119,112,CAR,"4,729",,62 ,,"1,818",,"2,849",2,976,13,"31,239","6,448","4,845,103 ",Africa,"1,025","78,147",155
120,113,Nicaragua,"4,668",,141 ,,"2,913",,"1,614",,703,21,,,"6,639,152 ",North America,"1,422","47,086",
