,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
32,Pakistan,1865,+148,25.0,+4,76.0,1764,12.0,8.0,0.1,Feb 25
33,Thailand,1651,+127,10.0,+1,342.0,1299,23.0,24.0,0.1,Jan 12
34,Saudi Arabia,1563,+110,10.0,+2,165.0,1388,12.0,45.0,0.3,Mar 01
35,Indonesia,1528,+114,136.0,+14,81.0,1311,,6.0,0.5,Mar 01
36,Finland,1418,+66,13.0,,10.0,1395,49.0,256.0,2.0,Jan 28
37,South Africa,1326,,3.0,,31.0,1292,7.0,22.0,0.05,Mar 04
38,India,1251,,32.0,,102.0,1117,,0.9,0.02,Jan 29
39,Greece,1212,,46.0,,52.0,1114,72.0,116.0,4.0,Feb 25
40,Mexico,1094,+101,28.0,+8,35.0,1031,1.0,8.0,0.2,Feb 27
41,Iceland,1086,,2.0,,157.0,927,25.0,3182.0,6.0,Feb 27
42,Panama,1075,,27.0,,9.0,1039,43.0,249.0,6.0,Mar 09
43,Argentina,966,+146,24.0,+1,228.0,714,,21.0,0.5,Mar 02
44,Peru,950,,24.0,,53.0,873,49.0,29.0,0.7,Mar 05
45,Singapore,926,+47,3.0,,228.0,695,22.0,158.0,0.5,Jan 22
46,Dominican Republic,901,,42.0,,4.0,855,,83.0,4.0,Feb 29
47,Croatia,867,+77,6.0,,67.0,794,32.0,211.0,1.0,Feb 24
48,Slovenia,802,+46,15.0,+4,10.0,777,24.0,386.0,7.0,Mar 03
49,Colombia,798,,14.0,,15.0,769,29.0,16.0,0.3,Mar 05
50,Serbia,785,,16.0,,42.0,727,62.0,90.0,2.0,Mar 05
51,Estonia,745,+30,4.0,+1,26.0,715,13.0,562.0,3.0,Feb 26
52,Hong Kong,714,+31,4.0,,128.0,582,5.0,95.0,0.5,Jan 22
53,Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
54,Qatar,693,,1.0,,51.0,641,6.0,241.0,0.3,Feb 28
55,Egypt,656,,41.0,,150.0,465,,6.0,0.4,Feb 13
56,New Zealand,647,+58,1.0,,74.0,572,2.0,134.0,0.2,Feb 27
57,Iraq,630,,46.0,,152.0,432,,16.0,1.0,Feb 21
58,UAE,611,,5.0,,61.0,545,2.0,62.0,0.5,Jan 28
59,Algeria,584,,35.0,,37.0,512,,13.0,0.8,Feb 24
60,Morocco,574,+18,33.0,,15.0,526,1.0,16.0,0.9,Mar 01
61,Bahrain,567,+52,4.0,,295.0,268,2.0,333.0,2.0,Feb 23
62,Ukraine,549,+1,13.0,,8.0,528,,13.0,0.3,Mar 02
63,Lithuania,533,+42,7.0,,7.0,519,27.0,196.0,3.0,Feb 27
64,Armenia,532,+50,3.0,,30.0,499,30.0,180.0,1.0,Feb 29
65,Hungary,492,+45,16.0,+1,37.0,439,6.0,51.0,2.0,Mar 03
66,Lebanon,463,+17,12.0,+1,35.0,416,7.0,68.0,2.0,Feb 20
67,Bosnia and Herzegovina,411,+43,12.0,+2,17.0,382,1.0,125.0,4.0,Mar 04
68,Latvia,398,+22,,,1.0,397,3.0,211.0,,Mar 01
69,Bulgaria,379,+20,8.0,,17.0,354,13.0,55.0,1.0,Mar 06
70,Andorra,370,,8.0,,10.0,352,10.0,4789.0,104.0,Mar 01
71,Slovakia,363,+27,,,7.0,356,1.0,66.0,,Mar 05
72,Tunisia,362,,9.0,,3.0,350,10.0,31.0,0.8,Mar 01
73,Kazakhstan,336,+34,2.0,+1,22.0,312,6.0,18.0,0.1,Mar 12
74,Costa Rica,330,,2.0,,4.0,324,7.0,65.0,0.4,Mar 04
75,North Macedonia,329,+44,7.0,,12.0,310,1.0,158.0,3.0,Feb 25
76,Taiwan,322,+16,5.0,,39.0,278,,14.0,0.2,Jan 20
77,Uruguay,320,,1.0,,25.0,294,9.0,92.0,0.3,Mar 12
78,Azerbaijan,298,+25,5.0,+1,26.0,267,11.0,29.0,0.5,Feb 27
79,Moldova,298,,2.0,,18.0,278,44.0,74.0,0.5,Mar 06
80,Kuwait,289,+23,,,73.0,216,13.0,68.0,,Feb 23
81,Jordan,268,,5.0,,26.0,237,5.0,26.0,0.5,Mar 01
82,Burkina Faso,246,,12.0,,31.0,203,,12.0,0.6,Mar 08
