,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
91,91.0,Gabon,1567,,12.0,,365.0,1190.0,6.0,706.0,5.0,8622.0,3885.0,2219485.0
92,92.0,Mayotte,1521,+46,19.0,,894.0,608.0,11.0,5591.0,70.0,5200.0,19116.0,272030.0
93,93.0,New Zealand,1504,+1,21.0,,1455.0,28.0,1.0,312.0,4.0,250246.0,51941.0,4817906.0
94,94.0,Slovakia,1503,+1,28.0,,1256.0,219.0,2.0,275.0,5.0,154529.0,28305.0,5459361.0
95,95.0,Slovenia,1468,,106.0,,1340.0,22.0,3.0,706.0,51.0,75110.0,36130.0,2078908.0
96,96.0,Kyrgyzstan,1350,+37,14.0,,939.0,397.0,5.0,207.0,2.0,98281.0,15093.0,6511813.0
97,97.0,Maldives,1274,+58,4.0,,109.0,1161.0,9.0,2362.0,7.0,11775.0,21828.0,539443.0
98,98.0,Kenya,1161,+52,50.0,,380.0,731.0,1.0,22.0,0.9,55074.0,1027.0,53631400.0
99,99.0,Guinea-Bissau,1109,,6.0,,42.0,1061.0,,565.0,3.0,1500.0,764.0,1962465.0
100,100.0,Lebanon,1086,+62,26.0,,663.0,397.0,3.0,159.0,4.0,69610.0,10194.0,6828619.0
101,101.0,Sri Lanka,1068,+20,9.0,,620.0,439.0,1.0,50.0,0.4,49124.0,2295.0,21403517.0
102,102.0,Hong Kong,1066,+2,4.0,,1029.0,33.0,1.0,142.0,0.5,168291.0,22468.0,7490261.0
103,103.0,Tunisia,1046,,47.0,,883.0,116.0,3.0,89.0,4.0,45308.0,3838.0,11804800.0
104,104.0,Latvia,1030,+5,22.0,,712.0,296.0,2.0,545.0,12.0,96366.0,51033.0,1888294.0
105,105.0,Albania,981,+12,31.0,,777.0,173.0,3.0,341.0,11.0,12933.0,4494.0,2878129.0
106,106.0,Equatorial Guinea,960,+57,11.0,+1,165.0,784.0,,687.0,8.0,854.0,611.0,1397254.0
107,107.0,Mali,947,,60.0,,558.0,329.0,,47.0,3.0,3483.0,173.0,20179688.0
108,108.0,Niger,937,+13,60.0,,764.0,113.0,,39.0,2.0,5971.0,248.0,24095961.0
109,109.0,Cyprus,927,+4,17.0,,561.0,349.0,10.0,768.0,14.0,95349.0,79036.0,1206392.0
110,110.0,Zambia,920,+54,7.0,,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,18321393.0
111,111.0,Costa Rica,911,+8,10.0,,600.0,301.0,4.0,179.0,2.0,22554.0,4432.0,5088953.0
112,112.0,Venezuela,882,,10.0,,262.0,610.0,2.0,31.0,0.4,697691.0,24528.0,28444376.0
113,113.0,Paraguay,838,+2,11.0,,264.0,563.0,,118.0,2.0,21987.0,3087.0,7122661.0
114,114.0,Burkina Faso,814,+2,52.0,,672.0,90.0,,39.0,2.0,,,20833816.0
115,115.0,Andorra,762,,51.0,,652.0,59.0,3.0,9864.0,660.0,3750.0,48542.0,77252.0
116,116.0,Uruguay,749,,20.0,,594.0,135.0,4.0,216.0,6.0,36537.0,10522.0,3472430.0
117,117.0,Haiti,734,+71,25.0,+3,21.0,688.0,,64.0,2.0,2519.0,221.0,11386865.0
118,118.0,Georgia,723,+2,12.0,,495.0,216.0,6.0,181.0,3.0,45707.0,11455.0,3989972.0
119,119.0,Diamond Princess,712,,13.0,,651.0,48.0,4.0,,,,,
120,120.0,Jordan,700,+16,9.0,,461.0,230.0,5.0,69.0,0.9,159320.0,15632.0,10191845.0
121,121.0,San Marino,661,+3,41.0,,254.0,366.0,1.0,19485.0,1209.0,3873.0,114170.0,33923.0
122,122.0,Chad,611,+23,58.0,,196.0,357.0,,37.0,4.0,,,16368402.0
123,123.0,Sierra Leone,606,+21,38.0,+3,230.0,338.0,,76.0,5.0,,,7957977.0
124,124.0,Malta,600,+1,6.0,,469.0,125.0,1.0,1359.0,14.0,57784.0,130906.0,441416.0
125,125.0,South Sudan,563,+82,6.0,+2,6.0,551.0,,50.0,0.5,3356.0,300.0,11178970.0
126,126.0,Channel Islands,558,,45.0,,508.0,5.0,,3213.0,259.0,5342.0,30757.0,173685.0
127,127.0,Jamaica,534,+5,9.0,,181.0,344.0,,180.0,3.0,9178.0,3101.0,2959765.0
128,128.0,Nepal,516,+59,3.0,,70.0,443.0,1.0,18.0,0.1,124604.0,4285.0,29076092.0
129,129.0,Tanzania,509,,21.0,,183.0,305.0,7.0,9.0,0.4,,,59527001.0
130,130.0,CAR,479,+43,,,18.0,461.0,,99.0,,11570.0,2400.0,4820066.0
131,131.0,Congo,469,,16.0,,137.0,316.0,,85.0,3.0,,,5501846.0
